home_team,away_team,score,attendance,venue,winner,match_id
Qatar,Ecuador,0-2,67372,Al Bayt Stadium,Ecuador,WC2022 #001
England,IR Iran,6-2,45334,Khalifa International Stadium,England,WC2022 #002
Senegal,Netherlands,0-2,41721,Al Thumama Stadium,Netherlands,WC2022 #003
United States,Wales,1-1,43418,Ahmed bin Ali Stadium,Wales,WC2022 #004
Argentina,Saudi Arabia,1-2,88012,Lusail Iconic Stadium,Saudi Arabia,WC2022 #005
Denmark,Tunisia,0-0,42925,Education City Stadium,Tunisia,WC2022 #006
Mexico,Poland,0-0,39369,Stadium 974,Poland,WC2022 #007
France,Australia,4-1,40875,Al Janoub Stadium,France,WC2022 #008
Morocco,Croatia,0-0,59407,Al Bayt Stadium,Croatia,WC2022 #009
Germany,Japan,1-2,42608,Khalifa International Stadium,Japan,WC2022 #010
Spain,Costa Rica,7-0,40013,Al Thumama Stadium,Spain,WC2022 #011
Belgium,Canada,1-0,40432,Ahmed bin Ali Stadium,Belgium,WC2022 #012
Switzerland,Cameroon,1-0,39089,Al Janoub Stadium,Switzerland,WC2022 #013
Uruguay,Korea Republic,0-0,41663,Education City Stadium,Korea Republic,WC2022 #014
Portugal,Ghana,3-2,42662,Stadium 974,Portugal,WC2022 #015
Brazil,Serbia,2-0,88103,Lusail Iconic Stadium,Brazil,WC2022 #016
Wales,IR Iran,0-2,40875,Ahmed bin Ali Stadium,IR Iran,WC2022 #017
Qatar,Senegal,1-3,41797,Al Thumama Stadium,Senegal,WC2022 #018
Netherlands,Ecuador,1-1,44833,Khalifa International Stadium,Ecuador,WC2022 #019
England,United States,0-0,68463,Al Bayt Stadium,United States,WC2022 #020
Tunisia,Australia,0-1,41823,Al Janoub Stadium,Australia,WC2022 #021
Poland,Saudi Arabia,2-0,44259,Education City Stadium,Poland,WC2022 #022
France,Denmark,2-1,42860,Stadium 974,France,WC2022 #023
Argentina,Mexico,2-0,88966,Lusail Iconic Stadium,Argentina,WC2022 #024
Japan,Costa Rica,0-1,41479,Ahmed bin Ali Stadium,Costa Rica,WC2022 #025
Belgium,Morocco,0-2,43738,Al Thumama Stadium,Morocco,WC2022 #026
Croatia,Canada,4-1,44374,Khalifa International Stadium,Croatia,WC2022 #027
Spain,Germany,1-1,68895,Al Bayt Stadium,Germany,WC2022 #028
Cameroon,Serbia,3-3,39789,Al Janoub Stadium,Serbia,WC2022 #029
Korea Republic,Ghana,2-3,43983,Education City Stadium,Ghana,WC2022 #030
Brazil,Switzerland,1-0,43649,Stadium 974,Brazil,WC2022 #031
Portugal,Uruguay,2-0,88668,Lusail Iconic Stadium,Portugal,WC2022 #032
Ecuador,Senegal,1-2,44569,Khalifa International Stadium,Senegal,WC2022 #033
Netherlands,Qatar,2-0,66784,Al Bayt Stadium,Netherlands,WC2022 #034
Wales,England,0-3,44297,Ahmed bin Ali Stadium,England,WC2022 #035
IR Iran,United States,0-1,42127,Al Thumama Stadium,United States,WC2022 #036
Australia,Denmark,1-0,41232,Al Janoub Stadium,Australia,WC2022 #037
Tunisia,France,1-0,43627,Education City Stadium,Tunisia,WC2022 #038
Saudi Arabia,Mexico,1-2,84985,Lusail Iconic Stadium,Mexico,WC2022 #039
Poland,Argentina,0-2,44089,Stadium 974,Argentina,WC2022 #040
Canada,Morocco,1-2,43102,Al Thumama Stadium,Morocco,WC2022 #041
Croatia,Belgium,0-0,43984,Ahmed bin Ali Stadium,Belgium,WC2022 #042
Japan,Spain,2-1,44851,Khalifa International Stadium,Japan,WC2022 #043
Costa Rica,Germany,2-4,67054,Al Bayt Stadium,Germany,WC2022 #044
Ghana,Uruguay,0-2,43443,Al Janoub Stadium,Uruguay,WC2022 #045
Korea Republic,Portugal,2-1,44097,Education City Stadium,Korea Republic,WC2022 #046
Serbia,Switzerland,2-3,41378,Stadium 974,Switzerland,WC2022 #047
Cameroon,Brazil,1-0,85986,Lusail Iconic Stadium,Cameroon,WC2022 #048
Netherlands,United States,3-1,44846,Khalifa International Stadium,Netherlands,WC2022 #049
Argentina,Australia,2-1,45032,Ahmed bin Ali Stadium,Argentina,WC2022 #050
France,Poland,3-1,40989,Al Thumama Stadium,France,WC2022 #051
England,Senegal,3-0,65985,Al Bayt Stadium,England,WC2022 #052
Japan,Croatia,(1) 1-1 (3),42523,Al Janoub Stadium,Croatia,WC2022 #053
Brazil,Korea Republic,4-1,43847,Stadium 974,Brazil,WC2022 #054
Morocco,Spain,(3) 0-0 (0),44667,Education City Stadium,Spain,WC2022 #055
Portugal,Switzerland,6-1,83720,Lusail Iconic Stadium,Portugal,WC2022 #056
Croatia,Brazil,(4) 1-1 (2),43893,Education City Stadium,Brazil,WC2022 #057
Netherlands,Argentina,(3) 2-2 (4),88235,Lusail Iconic Stadium,Argentina,WC2022 #058
Morocco,Portugal,1-0,44198,Al Thumama Stadium,Morocco,WC2022 #059
England,France,1-2,68895,Al Bayt Stadium,France,WC2022 #060
Argentina,Croatia,3-0,88966,Lusail Iconic Stadium,Argentina,WC2022 #061
France,Morocco,2-0,68294,Al Bayt Stadium,France,WC2022 #062
Croatia,Morocco,2-1,44137,Khalifa International Stadium,Croatia,WC2022 #063
Argentina,France,(4) 3-3 (2),88966,Lusail Iconic Stadium,France,WC2022 #064
